Organization Name,Address,Tel-no,Category,Keywords
JOHN C PHILLIPS MD LLC,1726 E CARSON ST  PITTSBURGH United States 152031706 PA,412-431-1722,Internal Medicine Cardiovascular Disease,
BONNIE TATAR,5701 CENTRE AVE STE L1  PITTSBURGH United States 152063744 PA,412-361-3668,Podiatrist Foot & Ankle Surgery,Surgery
"GENESIS MEDICAL ASSOCIATES, INC.",8150 PERRY HWY  PITTSBURGH United States 152375232 PA,412-369-9550,Chiropractor,
"GENESIS MEDICAL ASSOCIATES, INC.",8150 PERRY HWY  PITTSBURGH United States 152375232 PA,412-369-9550,Internal Medicine,
"PITTSBURGH SMILES YOUTH DENTISTRY, LLC",5918 PENN AVE  PITTSBURGH United States 152063817 PA,412-361-5437,Dentist General Practice,Dental Care
KHAN MEDICAL ASSOCIATES LLC,200 PENN AVE  PITTSBURGH United States 152212156 PA,412-242-8860,Internal Medicine,
GREATER PITTSBURGH MEDICAL ASSOCIATES - UPMC - SHALER,900 MOUNT ROYAL BLVD  PITTSBURGH United States 152231060 PA,412-492-0147,Non-Pharmacy Dispensing Site,Pharmacy
FAMILY MEDICINE RUTOVIC P C,5119 CLAIRTON BLVD  PITTSBURGH United States 152362708 PA,412-881-4930,Family Medicine,
PEOPLES OAKLAND,3433 BATES ST  PITTSBURGH United States 152133900 PA,412-683-7140,Community/Behavioral Health,
BARRY TENENOUSER,"21 YOST BLVD FOREST HILLS PLAZA, SUITE 217 PITTSBURGH United States 152215283 PA",412-823-0717,Family Medicine,
GOLANI MEDICAL ASSOCIATES PC,4815 LIBERTY AVE SUITE 120 PITTSBURGH United States 152242156 PA,412-682-5992,Internal Medicine Adolescent Medicine,
"CERTO & TRICHTINGER DENTAL ASSOCIATES, PC",1501 LOCUST ST 204 PITTSBURGH United States 152195136 PA,412-232-7735,Dentist General Practice,Dental Care
ELLIOTT J KRAMER DPM,355 5TH AVE STE 830  PITTSBURGH United States 152222410 PA,412-281-8975,Durable Medical Equipment & Medical Supplies,
"ALVIN J. WOSTEIN, DPM",1900 MURRAY AVE SUITE 302 PITTSBURGH United States 152171657 PA,412-521-7322,Podiatrist,
THE CHILDREN'S HOME OF PITTSBURGH,5324 PENN AVE  PITTSBURGH United States 152241733 PA,412-441-4884,Clinic/Center Medically Fragile Infants and Children Day Care,
THOMAS S HOLBER DMD PC,2621 MAIN STREET UNIVERSAL DENTAL BUILDING PITTSBURGH United States 152353646 PA,412-793-5520,Dentist,Dental Care
UNIVERSITY OF PITTSBURGH PHYSICIANS,3089 SUSSEX AVE  PITTSBURGH United States 152262516 PA,412-571-1022,Internal Medicine,
"THE ALLIANCE FOR INFANTS & TODDLERS, INC",2801 CUSTER AVE  PITTSBURGH United States 152273929 PA,412-885-6000,Early Intervention Provider Agency,
"JAMES A. DIPERNA, DMD, P.C.",563 EPSILON DR SUITE 300 PITTSBURGH United States 152382816 PA,412-963-1911,Clinic/Center Dental,
"MCCANDLESS ENDOSCOPY CENTER, LLC",9335 MCKNIGHT RD SUITE 200 PITTSBURGH United States 152375903 PA,412-359-8975,Clinic/Center Ambulatory Surgical,
"THE ALLIANCE FOR INFANTS & TODDLERS, INC.",2801 CUSTER AVE  PITTSBURGH United States 152273929 PA,412-885-6000,Early Intervention Provider Agency,
DR. SHARON R. WILSON PSYCHOLOGICAL SERVICES,485 MANSFIELD AVE  PITTSBURGH United States 152054344 PA,412-922-1566,Psychologist Clinical,
NORTH PITTSBURGH ORAL SURGERY ASSOC LTD,9380 MCKNIGHT ROAD SUITE 203 PITTSBURGH United States 15237 PA,412-367-3222,Dentist Oral and Maxillofacial Surgery,"Surgery, Dental Care"
"MEDEXPRESS URGENT CARE, LLC - FOX CHAPEL",50 FREEPORT RD SUITE 500 PITTSBURGH United States 152152906 PA,412-782-3278,Clinic/Center Urgent Care,
COMMUNITY EMPOWERMENT ASSOCIATION INC,400 N LEXINGTON AVENUE BUILDING 500 PITTSBURGH United States 15208 PA,412-371-3689,Preventive Medicine Public Health & General Preventive Medicine,Preventive Care
ALEXANDER CHANG MD PC,2101 GREENTREE RD SUITE 105 PITTSBURGH United States 152201400 PA,412-429-2020,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
"MUSTIN CHIROPRACTIC CLINIC,P.C.",69 N WREN DR  PITTSBURGH United States 152431247 PA,412-429-8884,Chiropractor,
ALLEGHENY COUNTY HEALTH DEPT. PHARMACY,3901 PENN AVE BLDG # 1 PITTSBURGH United States 152241318 PA,412-578-8168,Pharmacy,Pharmacy
"MICHAEL J. VOGINI DO, INC.",1748 JANCEY ST  PITTSBURGH United States 152061100 PA,412-661-4762,Family Medicine,
MARNIN E FISCHBACH MD PC,1036 SUMMERSET DR  PITTSBURGH United States 152172537 PA,412-389-5227,Counselor Professional,
SOSNIAK OPTICIANS,717 LIBERTY AVE 410 PITTSBURGH United States 152223511 PA,412-281-9210,Durable Medical Equipment & Medical Supplies,
"THE FAMILY DOCTORS, PC",267 EDMOND ST  PITTSBURGH United States 152241602 PA,412-897-5835,Family Medicine,
"CLINICAL NEUROPHYSIOLOGICAL SERVICES, LLC",5001 BAUM BLVD SUITE 530 PITTSBURGH United States 152131853 PA,412-681-9990,Specialist,
HOOLAHAN OPTOMETRIC PC,818 CEDAR AVE  PITTSBURGH United States 152124812 PA,412-321-3444,Optometrist,
"JOSEPH GIOFFRE, DPM, PC",2101 GREENTREE RD SUITE A115 PITTSBURGH United States 152201400 PA,412-279-1550,Durable Medical Equipment & Medical Supplies Customized Equipment,
"HUFNAGEL CHIROPRACTIC CENTER, INC",91 FORT COUCH RD SUITE 1 PITTSBURGH United States 152411033 PA,412-835-7001,Chiropractor,
OAKLEY FAMILY DENTISTRY,307 CASTLE SHANNON BLVD  PITTSBURGH United States 15234 PA,412-531-1397,Dentist,Dental Care
"TURTLE CREEK VALLEY MH/MR, INC.",70 S 22ND ST  PITTSBURGH United States 152032143 PA,412-381-2100,Community/Behavioral Health,
THE CENTER FOR COUNSELING ARTS,1901 E CARSON ST  PITTSBURGH United States 152031891 PA,412-431-8552,Psychologist Cognitive & Behavioral,
JEWISH HOME AND HOSPITAL FOR THE AGED AT PITTSBURGH,200 JHF DR  PITTSBURGH United States 15217 PA,412-521-1683,Skilled Nursing Facility,
DANIEL A DZIAK PC,3102 BANKSVILLE RD  PITTSBURGH United States 152162721 PA,412-344-5500,Chiropractor,
ASSOCIATES IN QUALITY PSYCHIATRIC MEDICINE PC,4416 PENN AVE  PITTSBURGH United States 15224 PA,412-681-2211,Nurse Practitioner Psych/Mental Health,Mental Health and Rehabilitation
ASSOCIATES IN QUALITY PSYCHIATRIC MEDICINE PC,4416 PENN AVE  PITTSBURGH United States 15224 PA,412-681-2211,Psychiatry & Neurology Psychiatry,
"JAMES R RICHARDS DC., LLC",2020 ARDMORE BLVD SUITE 169 PITTSBURGH United States 152214608 PA,412-351-2100,Chiropractor,
DEPASQUA CHIROPRACTIC,305 MOUNT LEBANON BLVD SUITE 100 PITTSBURGH United States 152341511 PA,412-531-4800,Chiropractor,
WE CARE CHIROPRACTIC PC,7575 SALTSBURG RD  PITTSBURGH United States 152353634 PA,412-795-2900,Chiropractor,
SQUIRREL HILL PHYSICAL THERAPY CENTER INC,1154 GREENFIELD AVE  PITTSBURGH United States 152172958 PA,412-422-7022,Clinic/Center Physical Therapy,
FREY MEDICAL ASSOCIATES PC,524 BELTZHOOVER AVENUE  PITTSBURGH United States 15210 PA,412-431-3911,Family Medicine Geriatric Medicine,
FRESENIUS MEDICAL CARE COMPREHENSIVE CKD SERVICES INC,11624 KELEKET DR CKD SERVICES OF PENN HILLS PITTSBURGH United States 152353327 PA,412-244-3931,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
FRESENIUS MEDICAL CARE COMPREHENSIVE CKD SERVICES INC,1401 FORBES AVE CKD SERVICES OF THREE RIVERS PITTSBURGH United States 152195125 PA,412-281-8233,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
"ANDRAS A. MECS, D.M.D., P.C.",1503 POTOMAC AVE  PITTSBURGH United States 152162109 PA,412-563-1611,Dentist General Practice,Dental Care
"LYDIA'S PLACE, INC.",710 5TH AVE SUITE 2100 PITTSBURGH United States 152193003 PA,412-391-1013,Case Management,
LEEFER CHIROPRACTIC LIFE CENTER,5600 BROWNSVILLE RD  PITTSBURGH United States 152362935 PA,412-655-2407,Chiropractor,
"LIKEN HEALTH CARE, INC.",400 PENN CENTER BLVD SUITE 100 PITTSBURGH United States 152355613 PA,412-824-7660,Home Health,
"EDWARD ROSS, OD",1821 MURRAY AVE  PITTSBURGH United States 152171605 PA,412-521-6622,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
UPMC COMMUNITY MEDICINE INC,6301 FORBES AVE SQUIRREL HILL MEDICAL BUILDING SUITE 301 PITTSBURGH United States 152171725 PA,412-422-5287,Non-Pharmacy Dispensing Site,Pharmacy
NATIONAL ARTIFICIAL LIMB CO. INC,5740 BAUM BLVD  PITTSBURGH United States 152063775 PA,412-361-0544,Prosthetic/Orthotic Supplier,
WEST PENN PHYSICIAN PRACTICE NETWORK,147 TOWNE SQUARE WAY BRENTWOOD TOWNE SQUARE PITTSBURGH United States 152273254 PA,412-942-1085,Obstetrics & Gynecology,Women & Reproductive Care
"MEDTECH SUPPORT SERVICES, INC.",3450 BABCOCK BLVD  PITTSBURGH United States 152372410 PA,412-366-7301,Physical Medicine & Rehabilitation,Mental Health and Rehabilitation
WEST PENN HEALTHCARE SOLUTIONS LLC,300 MOUNT LEBANON BLVD SUITE 210A PITTSBURGH United States 152341512 PA,412-561-5605,Home Health,
"MT. LEBANON SENIOR CARE, LLC",1300 BOWER HILL RD  PITTSBURGH United States 152431388 PA,412-278-1300,Skilled Nursing Facility,
"MARVIN A.DASH,DMD,INC.",355 5TH AVE PARK BLDG. SUITE1300 PITTSBURGH United States 152222409 PA,412-765-1030,Dentist Oral and Maxillofacial Surgery,"Surgery, Dental Care"
ALLCARE DENTAL & DENTURES PC,320 CLAIRTON BLVD  PITTSBURGH United States 152363806 PA,412-655-0285,Dentist General Practice,Dental Care
ALLCARE DENTAL & DENTURES PC,6515 ROBINSON CENTER DR  PITTSBURGH United States 152054868 PA,412-446-2812,Dentist General Practice,Dental Care
"CHINESE ACUPUNCTURE & HERBS CENTER, LLC",20 CEDAR BLVD SUITE 301 PITTSBURGH United States 152281330 PA,412-563-3328,Acupuncturist,
"SHABBIR LAKDAWALA, MD PC",2912 GLENMORE AVE  PITTSBURGH United States 152162042 PA,412-563-1132,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,5215 CENTRE AVE FIRST FLOOR PITTSBURGH United States 152321303 PA,412-647-3087,Internal Medicine,
TRI STATE COLORECTAL ASSOC,4725 MCKNIGHT RD SUITE 107 PITTSBURGH United States 152373414 PA,412-366-2979,Colon & Rectal Surgery,Surgery
"WAGNER CHIROPRACTIC ASSOCIATES, P.C.",421 COCHRAN RD  PITTSBURGH United States 152281255 PA,412-531-8701,Chiropractor,
"BRENTWOOD CARRICK OPTICAL CENTER,INC",4135 BROWNSVILLE RD  PITTSBURGH United States 152273347 PA,412-881-2626,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
LARRY E. MANALO DMD,1580 MCLAUGHLIN RUN RD STE 118  PITTSBURGH United States 152413100 PA,412-221-2221,Dentist,Dental Care
CHIRO REHAB ASSOCIATES,3000 BROWNSVILLE RD  PITTSBURGH United States 152272469 PA,412-882-1930,Chiropractor Rehabilitation,Mental Health and Rehabilitation
"MORREALE CHIROPRACTIC, LLC",874 BUTLER ST STE 2 PITTSBURGH United States 152231340 PA,412-781-3150,Chiropractor,
MAROTTA CHIROPRACTIC & MASSAGE CLINIC,400 RODI RD  PITTSBURGH United States 152354519 PA,412-241-4530,Chiropractor,
"DANIEL SHAWN MILLER DC, LLC",580 S AIKEN AVE SUITE 310 PITTSBURGH United States 152321531 PA,412-623-3023,Chiropractor,
GLEASON MEDICAL ASSOCIATES-UPMC,1789 S BRADDOCK AVE SIITE 510 PITTSBURGH United States 152181842 PA,412-244-8760,Non-Pharmacy Dispensing Site,Pharmacy
ASSOCIATES IN QUALITY PSYCHIATRIC MEDICINE PC,4416 PENN AVENUE  PITTSBURGH United States 15224 PA,412-681-2211,Psychologist Clinical,
"MARK A. MIKUS, D.M.D., INC.",9400 MCKNIGHT RD STE 101  PITTSBURGH United States 152376007 PA,412-369-7122,Dentist,Dental Care
DR. IRA L. SCHWARTZ AND ASSOCIATES,355 5TH AVE  PITTSBURGH United States 152222409 PA,412-471-8633,Dentist General Practice,Dental Care
PENNSYLVANIA ORGANIZATION FOR WOMEN IN EARLY RECOVERY,7445 CHURCH ST  PITTSBURGH United States 152182430 PA,412-271-0500,Substance Abuse Rehabilitation Facility,Mental Health and Rehabilitation
"TRI-STATE MOBILE X-RAY, INC",4684 CLAIRTON BLVD  PITTSBURGH United States 152362114 PA,412-881-9333,Portable X-Ray and/or Other Portable Diagnostic Imaging Supplier,
PENNSYLVANIA ORGANIZATION FOR WOMEN IN EARLY RECOVERY,905 WATSON ST  PITTSBURGH United States 152194709 PA,412-471-1262,Community/Behavioral Health,
PRESSLEY RIDGE,2114 MOUNT FORD AVENUE  PITTSBURGH United States 152140000 PA,412-321-6995,Foster Care Agency,
PRESSLEY RIDGE,757 MAGINN ST  PITTSBURGH United States 152140000 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
PRESSLEY RIDGE,2630 PALISADE LN  PITTSBURGH United States 152143012 PA,412-321-6995,Foster Care Agency,
PRESSLEY RIDGE,2622 PALISADE LN  PITTSBURGH United States 152143012 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
CAMILLE'S FITNESS INC,613 TARA DR  PITTSBURGH United States 152376509 PA,412-657-9258,Health Maintenance Organization,
DIANE JOHNSON DPM,211 N WHITFIELD ST STE 670 PITTSBURGH United States 152063039 PA,412-362-9440,Podiatrist,
PRESSLEY RIDGE,2634 PALISADES LANE  PITTSBURGH United States 152143012 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
PRESSLEY RIDGE,2636 PALISADE LN  PITTSBURGH United States 152143012 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
PRESSLEY RIDGE,875 MAGINN ST  PITTSBURGH United States 152143009 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
PRESSLEY RIDGE,2638 PALISADES LN  PITTSBURGH United States 152143012 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
"BARRY F. BARTUSIAK, D.M.D.",133 S 20TH ST  PITTSBURGH United States 152032024 PA,412-381-5252,Dentist General Practice,Dental Care
UNIVERSITY OF PITTSBURGH PHYSICIANS,3500 5TH AVE 4TH FLOOR PITTSBURGH United States 152133337 PA,412-682-2434,Internal Medicine,
HEART CARE MEDICAL ASSOCIATES,155 N CRAIG ST  PITTSBURGH United States 152131571 PA,412-687-7666,Internal Medicine Cardiovascular Disease,
DEMETRIOS PATRINOS DMD MD PC,2585 WASHINGTON RD SUITE 111 PITTSBURGH United States 152412565 PA,412-833-3331,Dentist Oral and Maxillofacial Surgery,"Surgery, Dental Care"
PRESSLEY RIDGE,2620 PALISADE LN  PITTSBURGH United States 152143012 PA,412-321-6995,"Residential Treatment Facility, Emotionally Disturbed Children",
ACADEMY OF PODIATRY,730 BROOKLINE BLVD  PITTSBURGH United States 152262102 PA,412-831-1515,Podiatrist,
"VERRI CHIROPRACTIC ASSOCIATES, LP",600 IRON CITY DR  PITTSBURGH United States 152054349 PA,412-444-4455,Chiropractor,
"JOSEPH GIOFFRE, DPM, PC",2101 GREENTREE RD SUITE A115 PITTSBURGH United States 152201400 PA,412-279-1550,Podiatrist,
ACADEMY OF PODIATRY,1530 BEECHVIEW AVENUE  PITTSBURGH United States 15216 PA,412-561-3668,Podiatrist,
"ACCESSIBLE DENTAL SERVICES, INC.",100 PASSAVANT WAY  PITTSBURGH United States 152381318 PA,412-820-1010,Dentist,Dental Care
ALEXANDER MECS M.D. P.C.,1000 BOWER HILL RD SUITE 311 PITTSBURGH United States 152431873 PA,412-561-4722,Specialist,
FRYE CHIROPRACTIC CENTER P.C.,197 CASTLE SHANNON BLVD  PITTSBURGH United States 152282268 PA,412-341-2505,Chiropractor,
UNIVERSITY OF PITTSBURGH PHYSICIANS,5230 CENRE AVENUE SUITE 509 PITTSBURGH United States 152321381 PA,412-623-2458,Internal Medicine,
JOSEPH A MELE JR DC PC,55 OLD CLAIRTON RD SUITE 101 PITTSBURGH United States 152363904 PA,412-653-5333,Chiropractor,
CHANDRASEKHAR GOLLA MD,9401 MCKNIGHT RD SUITE 302 PITTSBURGH United States 152376000 PA,412-364-0333,Family Medicine,
"DR.C DANIEL MILLER, P.C.",180 CLAIRTON BLVD  PITTSBURGH United States 152363802 PA,412-653-7715,Chiropractor,
COLLAMER FAMILY CHIROPRACTIC,2340 GOLDEN MILE HWY  PITTSBURGH United States 152392710 PA,724-733-4828,Chiropractor,
DENTAL OFFICES OF GEORGE D FELDER,5208 CLAIRTON BLVD  PITTSBURGH United States 152362711 PA,412-882-1700,Dentist,Dental Care
"2CAREFOR, LLC",11 DUFF RD 1A PITTSBURGH United States 152353263 PA,412-241-3322,Home Health,
"DR ROBERT J BOYDA, INC",1910 COCHRAN RD  PITTSBURGH United States 152201203 PA,412-343-7855,PACE Provider Organization,
NATURE'S WORX,1312 E CARSON ST  PITTSBURGH United States 152031510 PA,412-431-9180,Chiropractor,
USHA SHARMA MD,10986 FRANKSTOWN RD  PITTSBURGH United States 152353043 PA,412-371-6888,Specialist,
VAPHS,UNIVERSITY DRIVE C  PITTSBURGH United States 152409903 PA,412-688-6322,General Acute Care Hospital,
AMERICARE STAFFING OF WESTERN PA,394 RODI RD  PITTSBURGH United States 152353307 PA,412-731-0515,Home Health,
JUNE V ISALY & ASSOCIATES INC,4721 MCKNIGHT RD SUITE 218 SOUTH PITTSBURGH United States 152373415 PA,412-369-4285,Counselor Mental Health,Mental Health and Rehabilitation
STRESS MANAGEMENT CENTER OF AMERICA,2987 W LIBERTY AVE  PITTSBURGH United States 152162544 PA,412-344-3010,Counselor Mental Health,Mental Health and Rehabilitation
